timestamp,topic,lag
2026-06-03 05:48:16.713511,queries.retry,7
2026-06-03 05:48:16.713511,queries.dlq,125
2026-06-03 05:48:18.718734,queries,88
2026-06-03 05:48:18.718734,queries.retry,7
2026-06-03 05:48:18.718734,queries.dlq,125
2026-06-03 05:48:20.723777,queries,24
2026-06-03 05:48:20.723777,queries.retry,2
2026-06-03 05:48:20.723777,queries.dlq,125
2026-06-03 05:48:22.727451,queries,64
2026-06-03 05:48:22.727451,queries.retry,8
2026-06-03 05:48:22.727451,queries.dlq,125
2026-06-03 05:48:24.731620,queries,40
2026-06-03 05:48:24.731620,queries.retry,3
2026-06-03 05:48:24.731620,queries.dlq,126
2026-06-03 05:48:26.735983,queries,44
2026-06-03 05:48:26.735983,queries.retry,3
2026-06-03 05:48:26.735983,queries.dlq,126
2026-06-03 05:48:28.740515,queries,84
2026-06-03 05:48:28.740515,queries.retry,6
2026-06-03 05:48:28.740515,queries.dlq,126
2026-06-03 05:48:30.745119,queries,60
2026-06-03 05:48:30.745119,queries.retry,7
2026-06-03 05:48:30.745119,queries.dlq,128
2026-06-03 05:48:32.750212,queries,72
2026-06-03 05:48:32.750212,queries.retry,14
2026-06-03 05:48:32.750212,queries.dlq,130
2026-06-03 05:48:34.756011,queries,112
2026-06-03 05:48:34.756011,queries.retry,21
2026-06-03 05:48:34.756011,queries.dlq,130
2026-06-03 05:48:36.762493,queries,69
2026-06-03 05:48:36.762493,queries.retry,12
2026-06-03 05:48:36.762493,queries.dlq,131
2026-06-03 05:48:38.765986,queries,108
2026-06-03 05:48:38.765986,queries.retry,18
2026-06-03 05:48:38.765986,queries.dlq,133
2026-06-03 05:48:40.769001,queries,69
2026-06-03 05:48:40.769001,queries.retry,12
2026-06-03 05:48:40.769001,queries.dlq,136
2026-06-03 05:48:42.772460,queries,67
2026-06-03 05:48:42.772460,queries.retry,9
2026-06-03 05:48:42.772460,queries.dlq,136
2026-06-03 05:48:44.775438,queries,107
2026-06-03 05:48:44.775438,queries.retry,14
2026-06-03 05:48:44.775438,queries.dlq,136
2026-06-03 05:48:46.778937,queries,87
2026-06-03 05:48:46.778937,queries.retry,11
2026-06-03 05:48:46.778937,queries.dlq,137
2026-06-03 05:48:48.782643,queries,83
2026-06-03 05:48:48.782643,queries.retry,10
2026-06-03 05:48:48.782643,queries.dlq,140
2026-06-03 05:48:50.786085,queries,80
2026-06-03 05:48:50.786085,queries.retry,15
2026-06-03 05:48:50.786085,queries.dlq,142
2026-06-03 05:48:52.789356,queries,40
2026-06-03 05:48:52.789356,queries.retry,6
2026-06-03 05:48:52.789356,queries.dlq,142
2026-06-03 05:48:54.793647,queries,79
2026-06-03 05:48:54.793647,queries.retry,14
2026-06-03 05:48:54.793647,queries.dlq,143
2026-06-03 05:48:56.798447,queries,98
2026-06-03 05:48:56.798447,queries.retry,19
2026-06-03 05:48:56.798447,queries.dlq,143
